门店ID,品牌品类,部门(新版),类别描述(新版),日历年(YYYY年),日历周(周一起),直营净零售数量
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W10,27
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W11,27
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W12,35
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W13,35
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W14,54
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W15,26
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W16,21
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W17,4
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W18,4
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W19,2
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W21,1
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W22,2
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W23,1
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W27,1
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W30,1
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W33,13
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W34,13
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W35,18
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W36,16
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W37,18
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W38,39
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W39,24
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W40,88
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W41,33
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W42,30
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W43,20
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W44,9
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2018年,2018 W45,4
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W06,1
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W07,4
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W08,7
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W09,12
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W10,16
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W11,26
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W12,20
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W13,14
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W14,16
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W15,12
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W16,9
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W17,7
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W18,11
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W19,2
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W20,1
A00021S112,Metersbonwe品牌,女装,牛仔茄克,2019年,2019 W27,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W01,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W02,3
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W04,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W05,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W06,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W07,3
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W08,4
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W09,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W10,4
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W11,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W12,3
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W13,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W14,3
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W16,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W17,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W18,3
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W24,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W25,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W26,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W27,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W28,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W29,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W30,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W31,4
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W32,3
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2017年,2017 W33,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W21,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W22,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W26,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W27,3
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W28,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W29,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W31,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W33,6
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W34,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W37,1
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W38,4
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W39,2
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W40,4
A00021S112,Metersbonwe品牌,女装,牛仔衬衫,2018年,2018 W42,1
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W01,-1
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W02,5
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W05,1
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W40,3
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W41,3
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W42,10
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W43,6
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W44,7
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W45,9
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W46,9
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W47,17
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W48,21
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W49,32
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W50,20
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W51,14
A00021S112,Metersbonwe品牌,女装,牛仔褛,2017年,2017 W52,27
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W01,21
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W02,19
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W03,17
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W04,3
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W05,10
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W06,6
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W42,1
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W45,9
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W46,6
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W47,8
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W48,12
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W49,4
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W50,3
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W51,3
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2018 W52,5
A00021S112,Metersbonwe品牌,女装,牛仔褛,2018年,2019 W01,6
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W01,5
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W02,8
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W03,12
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W04,21
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W05,16
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W06,2
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W07,3
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W08,-2
A00021S112,Metersbonwe品牌,女装,牛仔褛,2019年,2019 W09,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W04,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W07,3
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W09,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W12,3
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W13,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W14,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W15,4
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W16,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W17,9
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W18,11
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W19,8
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W20,8
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W21,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W22,11
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W23,10
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W24,9
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W25,7
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W26,11
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W27,4
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W28,7
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W29,4
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W30,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W31,9
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W32,6
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W33,3
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W35,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W36,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W37,-1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W39,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W40,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2017年,2017 W42,3
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W08,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W10,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W13,10
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W14,10
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W15,4
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W16,4
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W17,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W18,3
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W19,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W20,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W21,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W22,4
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W23,3
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W24,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W25,2
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W27,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W29,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W30,1
A00021S112,Metersbonwe品牌,女装,牛仔连衣裙,2018年,2018 W33,2
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W01,49
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W02,80
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W03,107
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W04,60
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W05,48
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W06,63
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W07,99
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W08,69
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W09,78
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W10,86
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W11,96
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W12,87
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W13,102
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W14,124
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W15,99
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W16,90
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W17,118
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W18,75
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W19,41
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W20,47
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W21,39
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W22,56
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W23,32
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W24,46
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W25,30
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W26,45
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W27,35
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W28,31
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W29,33
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W30,56
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W31,65
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W32,98
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W33,91
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W34,84
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W35,135
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W36,119
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W37,127
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W38,84
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W39,139
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W40,225
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W41,110
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W42,114
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W43,80
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W44,79
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W45,88
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W46,78
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W47,91
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W48,69
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W49,40
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W50,52
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W51,45
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2017年,2017 W52,95
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W01,79
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W02,61
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W03,43
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W04,37
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W05,83
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W06,112
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W07,80
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W08,122
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W09,97
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W10,151
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W11,112
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W12,108
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W13,116
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W14,138
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W15,94
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W16,90
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W17,59
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W18,74
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W19,55
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W20,25
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W21,41
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W22,36
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W23,24
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W24,37
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W25,32
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W26,13
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W27,23
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W28,27
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W29,27
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W30,38
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W31,24
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W32,51
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W33,118
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W34,120
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W35,114
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W36,128
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W37,100
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W38,159
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W39,157
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W40,282
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W41,174
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W42,114
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W43,74
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W44,72
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W45,49
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W46,35
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W47,53
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W48,49
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W49,35
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W50,30
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W51,32
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2018 W52,63
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2018年,2019 W01,29
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W01,45
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W02,48
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W03,62
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W04,49
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W05,54
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W06,32
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W07,42
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W08,30
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W09,36
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W10,59
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W11,86
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W12,49
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W13,57
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W14,108
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W15,84
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W16,71
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W17,52
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W18,106
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W19,37
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W20,46
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W21,45
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W22,51
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W23,47
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W24,30
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W25,33
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W26,32
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W27,30
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W28,21
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W29,22
A00021S112,Metersbonwe品牌,女装,牛仔长裤,2019年,2019 W30,19
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W04,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W07,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W08,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W13,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W14,4
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W15,4
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W16,4
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W17,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W19,5
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W20,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W21,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W22,3
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W24,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W25,4
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W30,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W31,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W32,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W33,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W34,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W35,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W36,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W37,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W44,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2017年,2017 W45,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2018年,2018 W18,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2018年,2018 W20,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2018年,2018 W27,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2018年,2018 W29,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2018年,2018 W36,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2018年,2018 W37,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2018年,2018 W38,2
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2019年,2019 W14,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2019年,2019 W15,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2019年,2019 W20,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2019年,2019 W21,1
A00021S112,Metersbonwe品牌,女装,短袖毛衫,2019年,2019 W23,1
